t,h,dx,dy,X,Y,FPS
0.2926,20.00,0.00,0.00,0.00,0.00,0
0.7619,20.00,0.80,0.27,0.80,0.27,0
0.7712,20.00,0.00,0.00,0.80,0.27,1
0.7796,20.00,0.00,0.00,0.80,0.27,2
0.7884,20.00,0.00,0.00,0.80,0.27,3
0.7976,20.00,0.00,0.00,0.80,0.27,4
0.8137,20.00,0.00,0.00,0.80,0.27,5
0.8237,20.00,0.00,0.00,0.80,0.27,6
0.8318,20.00,0.00,0.00,0.80,0.27,7
0.8411,20.00,0.00,0.00,0.80,0.27,8
0.8583,20.00,0.00,0.00,0.80,0.27,8
0.8674,20.00,0.00,0.00,0.80,0.27,9
0.8760,20.00,0.00,0.00,0.80,0.27,10
0.8874,20.00,0.00,0.00,0.80,0.27,11
0.9002,20.00,0.00,0.00,0.80,0.27,12
0.9148,20.00,0.00,0.00,0.80,0.27,12
0.9252,20.00,0.00,0.00,0.80,0.27,13
0.9462,20.00,0.00,0.00,0.80,0.27,13
0.9540,20.00,0.00,0.00,0.80,0.27,15
0.9648,20.00,0.00,0.00,0.80,0.27,15
0.9831,20.00,0.00,0.00,0.80,0.27,16
0.9946,20.00,0.00,0.00,0.80,0.27,16
1.0032,20.00,0.00,0.00,0.80,0.27,17
1.0928,20.00,0.00,0.00,0.80,0.27,17
1.1036,20.00,0.00,0.00,0.80,0.27,18
1.1112,20.00,0.00,0.00,0.80,0.27,19
1.1189,20.00,0.00,0.00,0.80,0.27,20
1.1671,20.00,0.00,0.00,0.80,0.27,20
1.1776,20.00,0.00,0.00,0.80,0.27,21
1.1922,20.00,0.00,0.00,0.80,0.27,22
1.2032,20.00,0.00,0.00,0.80,0.27,22
1.2126,20.00,0.00,0.00,0.80,0.27,23
1.2253,20.00,0.00,0.00,0.80,0.27,24
1.2412,20.00,0.00,0.00,0.80,0.27,24
1.2511,20.00,0.00,0.00,0.80,0.27,25
1.2619,20.00,0.00,0.00,0.80,0.27,25
1.2768,20.00,0.00,0.00,0.80,0.27,26
1.2875,20.00,0.00,0.00,0.80,0.27,27
1.2972,20.00,0.00,0.00,0.80,0.27,27
1.3055,20.00,0.00,0.00,0.80,0.27,28
1.3151,20.00,0.00,0.00,0.80,0.27,29
1.3257,20.00,0.00,0.00,0.80,0.27,30
1.3383,20.00,0.00,0.00,0.80,0.27,30
1.3482,20.00,0.00,0.00,0.80,0.27,31
1.3634,20.00,0.00,0.00,0.80,0.27,31
1.3712,20.00,0.00,0.00,0.80,0.27,32
1.4501,20.00,0.00,0.00,0.80,0.27,32
1.4579,20.00,0.00,0.00,0.80,0.27,33
1.4692,20.00,0.00,0.00,0.80,0.27,33
1.4789,20.00,0.00,0.00,0.80,0.27,34
1.4904,20.00,0.00,0.00,0.80,0.27,35
1.5023,20.00,0.00,0.00,0.80,0.27,35
1.5152,20.00,0.00,0.00,0.80,0.27,36
1.5381,20.00,0.00,0.00,0.80,0.27,36
1.5547,20.00,0.00,0.00,0.80,0.27,36
1.5714,20.00,0.00,0.00,0.80,0.27,36
1.6017,20.00,0.00,0.00,0.80,0.27,36
1.6119,20.00,0.00,0.00,0.80,0.27,37
1.6216,20.00,0.00,0.00,0.80,0.27,37
1.6430,20.00,0.00,0.00,0.80,0.27,37
1.6531,20.00,0.00,0.00,0.80,0.27,38
1.6651,20.00,0.00,0.00,0.80,0.27,39
1.7992,20.00,0.00,0.00,0.80,0.27,38
1.8068,20.00,0.00,0.00,0.80,0.27,39
1.8185,20.00,0.00,0.00,0.80,0.27,40
1.8305,20.00,0.00,0.00,0.80,0.27,40
1.8402,20.00,0.00,0.00,0.80,0.27,41
1.8504,20.00,0.00,0.00,0.80,0.27,41
1.8629,20.00,0.00,0.00,0.80,0.27,42
1.8721,20.00,0.00,0.00,0.80,0.27,42
1.8862,20.00,0.00,0.00,0.80,0.27,43
1.8981,20.00,0.00,0.00,0.80,0.27,43
1.9099,20.00,0.00,0.00,0.80,0.27,43
1.9224,20.00,0.00,0.00,0.80,0.27,44
1.9639,20.00,0.00,0.00,0.80,0.27,44
1.9713,20.00,0.00,0.00,0.80,0.27,44
1.9819,20.00,0.00,0.00,0.80,0.27,45
2.0018,20.00,0.00,0.00,0.80,0.27,45
2.0124,20.00,0.00,0.00,0.80,0.27,45
2.0264,20.00,0.00,0.00,0.80,0.27,46
2.1050,20.00,0.00,0.00,0.80,0.27,45
2.1155,20.00,0.00,0.00,0.80,0.27,46
2.1302,20.00,0.00,0.00,0.80,0.27,46
2.1421,20.00,0.00,0.00,0.80,0.27,46
